[00:00:00.000],Start,,False
[00:00:00.500],SetValue,bBtn_Estop,I114.3:P,Boolean,FALSE,,False
[00:00:01.000],SetValue,bBtn_Reset,I114.4:P,Boolean,TRUE,,False
[00:00:01.500],SetValue,bBtn_Reset,I114.4:P,Boolean,FALSE,,False
[00:00:02.000],SetValue,bModeSelect,I114.5:P,Boolean,TRUE,,False
[00:00:02.500],SetValue,bBtn_Ready,I114.0:P,Boolean,TRUE,,False
[00:00:03.000],SetValue,bBtn_Start,I114.1:P,Boolean,TRUE,,False
[00:00:03.100],SetValue,bPalletPreDetect,I100.6:P,Boolean,TRUE,,False
[00:00:05.500],SetValue,bPalletStaDetect,I100.7:P,Boolean,TRUE,,False
[00:00:06.000],SetValue,bStaBlkCyl_End,I100.3:P,Boolean,TRUE,,False
[00:00:06.500],SetValue,bPosCyl_End,I100.5:P,Boolean,TRUE,,False
[00:00:07.500],SetValue,bTrans1Lift_Up,I104.2:P,Boolean,FALSE,,False
[00:00:08.000],SetValue,bTrans1Lift_Dn,I104.3:P,Boolean,TRUE,,False
[00:00:08.500],SetValue,bTrans1ProdDet,I104.6:P,Boolean,TRUE,,False
[00:00:09.000],SetValue,bTrans1Grip_Clp,I104.5:P,Boolean,TRUE,,False
[00:00:03.500],SetValue,bPreBlkCyl_End,I100.1:P,Boolean,TRUE,,False
[00:00:09.500],SetValue,bTrans1Lift_Dn,I104.3:P,Boolean,FALSE,,False
[00:00:10.500],SetValue,bTrans1Lift_Up,I104.2:P,Boolean,TRUE,,False
[00:00:12.000],SetValue,bTrans1Lat_Ext,I104.1:P,Boolean,TRUE,,False
[00:00:13.000],SetValue,bTrans1Lift_Dn,I104.3:P,Boolean,TRUE,,False
[00:00:13.500],SetValue,bTrans1Grip_Rel,I104.4:P,Boolean,TRUE,,False
[00:00:14.500],SetValue,bTrans1Lift_Up,I104.2:P,Boolean,TRUE,,False
[00:00:15.500],SetValue,bTrans1Lat_Ret,I104.0:P,Boolean,TRUE,,False
[00:00:15.000],SetValue,bTrans1Lat_Ext,I104.1:P,Boolean,FALSE,,False
[00:00:11.000],SetValue,bTrans1Lat_Ret,I104.0:P,Boolean,FALSE,,False
[00:00:16.000],SetValue,b2ndPosLat_End,I101.1:P,Boolean,TRUE,,False
[00:00:16.500],SetValue,b2ndPosLon_End,I101.3:P,Boolean,TRUE,,False
[00:00:17.000],SetValue,bPressCamRot_Press,I115.4:P,Boolean,TRUE,,False
[00:00:18.000],SetValue,bPressCam_Dn,I115.2:P,Boolean,TRUE,,False
[00:00:00.100],SetValue,握手信号.bReq_ScrewStart,,Boolean,FALSE,,False
[00:00:00.200],SetValue,握手信号.bAck_ScrewDone,,Boolean,FALSE,,False
[00:00:00.300],SetValue,握手信号.bAck_OutDone,,Boolean,FALSE,,False
[00:00:18.500],Stop,,False
