[00:00:00.000],Start,,False
[00:00:00.500],SetValue,bX_Srv_Home,I0.2:P,Boolean,TRUE,,False
[00:00:01.000],SetValue,bX_Srv_Home,I0.2:P,Boolean,FALSE,,False
[00:00:01.500],SetValue,bY_Srv_Home,I0.5:P,Boolean,TRUE,,False
[00:00:02.000],SetValue,bY_Srv_Home,I0.5:P,Boolean,FALSE,,False
[00:00:02.500],SetValue,bZ_Srv_Home,I1.0:P,Boolean,TRUE,,False
[00:00:03.000],SetValue,bZ_Srv_Home,I1.0:P,Boolean,FALSE,,False
[00:00:05.000],SetValue,bX_Srv_INP,I1.4:P,Boolean,TRUE,,False
[00:00:05.500],SetValue,bX_Srv_INP,I1.4:P,Boolean,FALSE,,False
[00:00:06.000],SetValue,bY_Srv_INP,I1.7:P,Boolean,TRUE,,False
[00:00:06.500],SetValue,bY_Srv_INP,I1.7:P,Boolean,FALSE,,False
[00:00:07.500],SetValue,bZ_Srv_INP,I2.2:P,Boolean,TRUE,,False
[00:00:08.000],SetValue,bZ_Srv_INP,I2.2:P,Boolean,FALSE,,False
[00:00:08.500],SetValue,bScrewVacuum,I101.5:P,Boolean,TRUE,,False
[00:00:09.000],SetValue,bFeederReady,I101.4:P,Boolean,TRUE,,False
[00:00:09.500],SetValue,bZ_Srv_INP,I2.2:P,Boolean,TRUE,,False
[00:00:10.000],SetValue,bZ_Srv_INP,I2.2:P,Boolean,FALSE,,False
[00:00:10.500],SetValue,bX_Srv_INP,I1.4:P,Boolean,TRUE,,False
[00:00:11.000],SetValue,bX_Srv_INP,I1.4:P,Boolean,FALSE,,False
[00:00:11.500],SetValue,bY_Srv_INP,I1.7:P,Boolean,TRUE,,False
[00:00:12.000],SetValue,bY_Srv_INP,I1.7:P,Boolean,FALSE,,False
[00:00:12.500],SetValue,bZ_Srv_INP,I2.2:P,Boolean,TRUE,,False
[00:00:13.000],SetValue,bZ_Srv_INP,I2.2:P,Boolean,FALSE,,False
[00:00:13.500],SetValue,bScrewBrake,I105.2:P,Boolean,TRUE,,False
[00:00:14.000],SetValue,bScrewBrake,I105.2:P,Boolean,FALSE,,False
[00:00:14.500],SetValue,bZ_Srv_INP,I2.2:P,Boolean,TRUE,,False
[00:00:15.000],SetValue,bZ_Srv_INP,I2.2:P,Boolean,FALSE,,False
[00:00:00.100],SetValue,握手信号.bReq_ScrewStart,,Boolean,TRUE,,False
[00:00:15.500],Stop,,False
